0 15282
200 6554
400 4459
600 2441
800 1425
1000 894
1200 525
1400 356
1600 212
1800 166
2000 114
2200 85
2400 78
2600 56
2800 33
3000 34
3200 21
3400 15
3600 13
3800 12
4000 6
4200 7
4400 16
4600 8
4800 8
5000 2
5200 3
5400 1
5600 3
5800 1
6000 3
6400 2
6800 1
7400 1
7600 4
8800 1
